career_title,description,skills,personality_match,education_requirement,average_salary_usd,job_outlook
Data Scientist,Analyze and interpret complex data to help organizations make decisions.,"Python, Machine Learning, Statistics, Data Visualization","Analytical, Curious, Problem-Solver","Bachelor's in Data Science, Computer Science, or related field",120000,"High growth, demand across industries"
AI Engineer,Design and deploy AI models and systems for automation and prediction.,"Deep Learning, TensorFlow, PyTorch, Python","Innovative, Logical, Persistent","Bachelor's in AI, Computer Science, or related field",140000,"Very high growth, core in emerging tech"
Cybersecurity Analyst,Protect systems and networks from cyber threats and breaches.,"Network Security, Penetration Testing, Risk Assessment","Detail-Oriented, Vigilant, Ethical",Bachelor's in Cybersecurity or related IT field,98000,High demand due to increasing cyber threats
UX/UI Designer,Design intuitive and user-friendly interfaces for apps and websites.,"Figma, Adobe XD, User Research, Wireframing","Creative, Empathetic, Detail-Oriented","Bachelor's in Design, HCI, or related field",85000,High demand in tech and design industries
Cloud Solutions Architect,Design and implement scalable cloud computing solutions.,"AWS, Azure, GCP, Cloud Security, DevOps","Strategic, Analytical, Problem-Solver",Bachelor's in Computer Science or related field,130000,Very high demand across industries
Blockchain Developer,Build decentralized applications and smart contracts on blockchain platforms.,"Solidity, Ethereum, Smart Contracts, Cryptography","Innovative, Logical, Risk-Taker",Bachelor's in Computer Science or related field,125000,High demand in fintech and decentralized tech
Game Developer,Design and develop interactive games for various platforms.,"Unity, Unreal Engine, C#, C++","Creative, Problem-Solver, Team Player",Bachelor's in Game Development or Computer Science,80000,"Steady growth, expanding into AR/VR"
Digital Marketing Specialist,Plan and execute online marketing campaigns for brands.,"SEO, SEM, Google Analytics, Social Media Marketing","Persuasive, Strategic, Creative",Bachelor's in Marketing or Business,65000,High demand in all industries
Robotics Engineer,Design and build robotic systems for automation.,"Robotics, CAD, Control Systems, Python","Innovative, Analytical, Problem-Solver",Bachelor's in Robotics or Mechanical/Electrical Engineering,105000,High demand in manufacturing and healthcare
Mobile App Developer,Create apps for mobile devices on Android and iOS platforms.,"Java, Kotlin, Swift, Flutter","Creative, Logical, Problem-Solver",Bachelor's in Computer Science or related field,95000,High demand due to mobile-first world
Data Analyst,"Collect, process, and analyze data to help businesses make informed decisions.","SQL, Excel, Data Visualization, Python","Analytical, Detail-Oriented, Curious","Bachelor's in Data Science, Statistics, or related field",70000,Steady growth as data becomes more integral to business
