course_title,provider,description,tags,rating,students_enrolled,duration_weeks,cost_type,level,url,career_title
Complete Python Bootcamp From Zero to Hero,Udemy,Learn Python like a Professional Start from the basics and go all the way to creating your own applications and games.,"python, programming, Data Scientist",4.1,27225,8,Free,Advanced,https://www.udemy.com/course/complete-python-bootcamp/,Data Scientist
Python for Data Science and Machine Learning,Pluralsight,Master Python programming fundamentals and apply them to data science workflows and machine learning algorithms.,"python, data science, Data Scientist",4.7,5130,7,Free,Beginner,https://www.pluralsight.com/courses/python-data-science,Data Scientist
Deep Learning Specialization,Pluralsight,Build and train deep neural network architectures including CNNs RNNs LSTMs and Transformers.,"deep learning, neural networks, AI Engineer",4.7,41998,11,Free,Intermediate,https://www.pluralsight.com/paths/deep-learning,AI Engineer
AI For Everyone,Udemy,Master AI concepts and understand how to leverage artificial intelligence in your organization.,"artificial intelligence, business, AI Engineer",4.1,40418,9,Free,Advanced,https://www.udemy.com/course/ai-for-everyone/,AI Engineer
CompTIA Security+ Certification Prep,LinkedIn Learning,Prepare for the CompTIA Security+ exam and master essential cybersecurity concepts.,"security, comptia, Cybersecurity Analyst",4.1,32779,15,Premium,Intermediate,https://www.linkedin.com/learning/comptia-security-plus-sy0-601,Cybersecurity Analyst
Ethical Hacking and Penetration Testing,Udemy,Learn ethical hacking from scratch and become a certified penetration tester.,"hacking, security, Cybersecurity Analyst",4.8,11319,8,Premium,Beginner,https://www.udemy.com/course/ethical-hacking-kali-linux/,Cybersecurity Analyst
Google UX Design Professional Certificate,Pluralsight,Develop skills needed to become an entry-level UX designer with hands-on projects.,"ux design, google, UX/UI Designer",4.3,45502,14,Free,Beginner,https://www.pluralsight.com/courses/ux-design-fundamentals,UX/UI Designer
UI/UX Design Bootcamp,Coursera,Master user interface and user experience design principles with real-world projects.,"design, user experience, UX/UI Designer",4.4,49407,12,Free,Advanced,https://www.coursera.org/professional-certificates/google-ux-design,UX/UI Designer
AWS Certified Solutions Architect,Pluralsight,Prepare for AWS certification and master cloud architecture design patterns.,"aws, cloud, Cloud Solutions Architect",4.6,38979,5,Premium,Beginner,https://www.pluralsight.com/paths/aws-certified-solutions-architect,Cloud Solutions Architect
Microsoft Azure Architect Technologies,edX,Learn to design and implement solutions that run on Microsoft Azure cloud platform.,"azure, cloud computing, Cloud Solutions Architect",4.4,14656,4,Free,Advanced,https://www.edx.org/course/microsoft-azure-architect-technologies,Cloud Solutions Architect
Blockchain Fundamentals,Pluralsight,Understanding blockchain technology and developing decentralized applications.,"blockchain, cryptocurrency, Blockchain Developer",4.2,45285,6,Free,Beginner,https://www.pluralsight.com/courses/blockchain-fundamentals,Blockchain Developer
Ethereum and Solidity Complete Course,edX,Build blockchain applications using Ethereum and write smart contracts in Solidity.,"ethereum, smart contracts, Blockchain Developer",5.0,10848,5,Premium,Advanced,https://www.edx.org/course/blockchain-technology,Blockchain Developer
Unity Game Development Fundamentals,LinkedIn Learning,Learn to create 2D and 3D games using Unity game engine from scratch.,"unity, game development, Game Developer",4.2,14879,10,Free,Advanced,https://www.linkedin.com/learning/unity-3d-essential-training,Game Developer
Unreal Engine 5 Complete Course,LinkedIn Learning,Master game development with Unreal Engine 5 and create AAA quality games.,"unreal engine, gaming, Game Developer",4.3,25441,12,Premium,Beginner,https://www.linkedin.com/learning/unreal-engine-5-essential-training,Game Developer
Google Digital Marketing Certificate,Udemy,Get job-ready for an in-demand career in digital marketing with Google certification.,"marketing, google ads, Digital Marketing Specialist",4.2,21750,10,Premium,Beginner,https://www.udemy.com/course/digital-marketing-masterclass/,Digital Marketing Specialist
Facebook Marketing Mastery,Udemy,Master Facebook and Instagram advertising to grow your business exponentially.,"social media, facebook ads, Digital Marketing Specialist",5.0,26917,11,Premium,Beginner,https://www.udemy.com/course/facebook-ads-facebook-marketing/,Digital Marketing Specialist
Introduction to Robotics,edX,Learn fundamentals of robotics including kinematics dynamics and control systems.,"robotics, engineering, Robotics Engineer",4.6,3314,13,Free,Beginner,https://www.edx.org/course/robotics-fundamentals,Robotics Engineer
Advanced Robotics and Automation,edX,Design and program industrial robots for manufacturing and automation applications.,"automation, industrial robots, Robotics Engineer",4.6,23964,6,Premium,Advanced,https://www.edx.org/course/advanced-robotics,Robotics Engineer
iOS App Development with Swift,LinkedIn Learning,Build iOS applications using Swift programming language and Xcode development environment.,"ios, swift, Mobile App Developer",4.2,14313,7,Free,Advanced,https://www.linkedin.com/learning/ios-15-app-development-essential-training,Mobile App Developer
Android Development with Kotlin,Pluralsight,Create Android applications using Kotlin and modern Android development practices.,"android, kotlin, Mobile App Developer",4.6,20576,12,Premium,Intermediate,https://www.pluralsight.com/courses/android-development-kotlin,Mobile App Developer
Google Data Analytics Certificate,Pluralsight,Gain the skills needed to become a junior data analyst with Google certification.,"data analysis, google, Data Analyst",4.8,42850,10,Premium,Beginner,https://www.pluralsight.com/paths/data-analysis-fundamentals,Data Analyst
SQL for Data Analysis,LinkedIn Learning,Master SQL queries and database management for effective data analysis.,"sql, databases, Data Analyst",4.3,44060,5,Premium,Beginner,https://www.linkedin.com/learning/sql-data-reporting-and-analysis,Data Analyst
The Complete Web Developer Course,edX,Learn full stack web development including HTML CSS JavaScript React and Node.js.,"web development, javascript, Full Stack Developer",4.6,5467,13,Free,Advanced,https://www.edx.org/course/full-stack-development,Full Stack Developer
MEAN Stack Development,Coursera,Build modern web applications using MongoDB Express Angular and Node.js.,"mean stack, javascript, Full Stack Developer",4.1,20745,12,Premium,Intermediate,https://www.coursera.org/specializations/mean-stack,Full Stack Developer
Product Management Fundamentals,Pluralsight,Learn essential product management skills including roadmapping and stakeholder management.,"product strategy, agile, Product Manager",4.7,23113,12,Free,Intermediate,https://www.pluralsight.com/courses/product-management-fundamentals,Product Manager
Agile Product Management,Pluralsight,Master agile methodologies and lean product development techniques.,"scrum, product development, Product Manager",4.5,4830,8,Premium,Advanced,https://www.pluralsight.com/courses/agile-product-owner-role,Product Manager
Computational Biology and Bioinformatics,Udemy,Apply computational methods to biological data analysis and genomics research.,"genomics, biology, Bioinformatics Scientist",4.5,36801,11,Free,Advanced,https://www.udemy.com/course/bioinformatics-methods/,Bioinformatics Scientist
Python for Genomic Data Science,Udemy,Use Python programming for analyzing genomic sequences and biological data.,"python, genomics, Bioinformatics Scientist",4.8,48088,10,Premium,Intermediate,https://www.udemy.com/course/python-for-genomics/,Bioinformatics Scientist
Embedded C Programming,Coursera,Master embedded systems programming using C language for microcontrollers.,"embedded c, microcontrollers, Embedded Systems Engineer",4.6,30030,12,Premium,Advanced,https://www.coursera.org/learn/introduction-embedded-systems,Embedded Systems Engineer
ARM Cortex-M Microcontroller,Pluralsight,Program ARM Cortex-M based microcontrollers for embedded applications.,"arm, embedded systems, Embedded Systems Engineer",4.3,43375,9,Free,Advanced,https://www.pluralsight.com/courses/embedded-systems-programming,Embedded Systems Engineer
Machine Learning with TensorFlow,edX,Build and deploy machine learning models using TensorFlow and Keras frameworks.,"tensorflow, deep learning, Machine Learning Engineer",4.8,20861,13,Free,Intermediate,https://www.edx.org/course/machine-learning-tensorflow,Machine Learning Engineer
Applied Machine Learning,LinkedIn Learning,Implement practical machine learning solutions for real-world problems.,"ml algorithms, python, Machine Learning Engineer",4.2,21240,5,Premium,Intermediate,https://www.linkedin.com/learning/applied-machine-learning-foundations,Machine Learning Engineer
Cisco CCNA Certification,edX,Prepare for Cisco CCNA certification and master networking fundamentals.,"cisco, networking, Network Engineer",4.9,44532,8,Premium,Beginner,https://www.edx.org/course/cisco-networking-basics,Network Engineer
CompTIA Network+ Training,LinkedIn Learning,Comprehensive networking concepts and prepare for CompTIA Network+ certification.,"comptia, networking, Network Engineer",4.1,39783,10,Free,Intermediate,https://www.linkedin.com/learning/comptia-network-plus-n10-008,Network Engineer
Docker and Kubernetes Mastery,LinkedIn Learning,Master containerization with Docker and orchestration with Kubernetes.,"docker, kubernetes, DevOps Engineer",4.5,44270,5,Free,Advanced,https://www.linkedin.com/learning/learning-docker,DevOps Engineer
CI/CD Pipeline with Jenkins,LinkedIn Learning,Build continuous integration and deployment pipelines using Jenkins.,"jenkins, automation, DevOps Engineer",4.1,8727,4,Free,Intermediate,https://www.linkedin.com/learning/continuous-integration-continuous-delivery-ci-cd,DevOps Engineer
Unity AR Foundation,Coursera,Create augmented reality applications using Unity AR Foundation framework.,"unity, augmented reality, AR/VR Developer",4.8,30695,11,Premium,Advanced,https://www.coursera.org/learn/augmented-reality,AR/VR Developer
Virtual Reality Development,LinkedIn Learning,Build immersive VR experiences using Unity and Oculus SDK.,"vr, oculus, AR/VR Developer",4.3,1369,11,Premium,Advanced,https://www.linkedin.com/learning/vr-foundations,AR/VR Developer
Certified Ethical Hacker v12,Coursera,Prepare for CEH certification and learn advanced penetration testing techniques.,"ceh, penetration testing, Ethical Hacker",4.3,1906,12,Free,Advanced,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,Ethical Hacker
Kali Linux for Ethical Hacking,Udemy,Master Kali Linux tools and techniques for ethical hacking and security testing.,"kali linux, security, Ethical Hacker",4.1,26392,14,Premium,Beginner,https://www.udemy.com/course/kali-linux-tutorial/,Ethical Hacker
